,fit,vac,mse,rmse,mae,depth,ests,group
4839,RF,0.9462425805760978,0.004825739099099102,0.06946753989525685,0.034295495495495605,10,100,control
4840,RF,0.9803729970506427,0.003419568072872875,0.05847707305323065,0.03750390390390389,10,100,control
4841,RF,0.9650038654076161,0.0032580287142857122,0.05707914430232563,0.0383657142857143,50,100,cocaine
4842,RF,0.9575056601045907,0.006895645642857124,0.08304002434282594,0.05382214285714273,50,100,cocaine
4843,RF,0.935664356198377,0.006370650357142853,0.07981635394543435,0.051692142857142784,50,100,cocaine
4844,RF,0.9532750394510118,0.009619909142857134,0.09808113550962352,0.05494428571428578,50,100,cocaine
4845,RF,0.9766079339927921,0.0037597374285714296,0.06131669779571817,0.03115285714285706,50,100,cocaine
4846,RF,0.9714790023749813,0.0040940057142857,0.06398441774593014,0.03286428571428557,50,100,cocaine
4847,RF,0.973198999800764,0.0020074872142857116,0.044804990952858274,0.032219285714285686,50,100,cocaine
4848,RF,0.9603361005848149,0.008359567285714265,0.09143066928396765,0.05178142857142849,50,100,cocaine
4849,RF,0.9522563296201132,0.006127987785714277,0.07828146514797917,0.055400714285714275,50,100,cocaine
4850,RF,0.9381422212328263,0.006575311142857135,0.08108829226748542,0.054234285714285645,50,100,cocaine
4851,RF,0.9885572640007325,0.0020515879285714334,0.04529445803375324,0.025042142857143013,50,100,cocaine
4852,RF,0.9584602473011797,0.005092080857142855,0.07135881765516336,0.04618428571428568,50,100,cocaine
4853,RF,0.9999999292986085,1.571428571428216e-08,0.00012535663410558756,3.5714285714504116e-05,50,100,cocaine
4854,RF,0.9886757516526418,0.0015528208571428579,0.039405848006899405,0.02249714285714284,50,100,cocaine
4855,RF,0.9749425411508318,0.0016904293571428559,0.0411148313524798,0.030503571428571467,50,100,cocaine
4856,RF,0.9225755997190574,0.010067960500000002,0.10033922712478904,0.05651357142857135,50,100,cocaine
4857,RF,0.9775276824881025,0.0032764082857142792,0.05723991863825698,0.04112714285714275,50,100,cocaine
4858,RF,0.9523115053692871,0.010128149642857121,0.10063870847172633,0.05338214285714286,50,100,cocaine
4859,RF,0.9869765610753568,0.002800982571428573,0.05292430983422054,0.018654285714285894,50,100,cocaine
4860,RF,0.9360133289385222,0.009994617142857126,0.09997308209141662,0.06437285714285691,50,100,cocaine
4861,RF,0.9688412722888999,0.0029327326190476148,0.054154710035671086,0.039470634920634885,50,100,cocaine
4862,RF,0.9585187239026565,0.005026789714285706,0.07089985694122172,0.044111428571428545,50,100,cocaine
4863,RF,0.9664570818168794,0.004038419999999993,0.06354856410651616,0.04538714285714278,50,100,cocaine
4864,RF,0.9721383314951937,0.003969508738738734,0.06300403747966264,0.041721621621621546,50,100,control
4865,RF,0.9525870343715171,0.006261492307692292,0.07912959185849686,0.060173076923076725,50,100,control
4866,RF,0.9507794330515326,0.004716974594594599,0.06868023438074887,0.050540540540540496,50,100,control
4867,RF,0.9107354400005302,0.01705478207207206,0.13059395878857513,0.100554054054054,50,100,control
4868,RF,0.9551675662021835,0.005238457207207217,0.07237718706337803,0.05248198198198198,50,100,control
4869,RF,0.9628184533134986,0.0044734123423423346,0.0668835730380961,0.04494684684684681,50,100,control
4870,RF,0.9470040980647954,0.0063944061261261165,0.07996503064543974,0.05458558558558544,50,100,control
4871,RF,0.9784464739224287,0.003038547567567564,0.05512302211932474,0.03748828828828825,50,100,control
4872,RF,0.9406013168544762,0.00842558918918918,0.09179100821534308,0.06503783783783776,50,100,control
4873,RF,0.9783318876740158,0.0031901887387387317,0.05648175580431908,0.02510360360360371,50,100,control
4874,RF,0.9896064001939778,0.0019228586486486538,0.04385041218333818,0.020177477477477605,50,100,control
